name,cate1,category,cate3,desc,url,domestic,free,mac,win,tags,
TeamViewer,实用工具,remote-desktop,,,,,,,,,
ToDesk,实用工具,remote-desktop,,,,1,,,,,
向日葵,实用工具,remote-desktop,,,,1,,,,,
geeLevel,实用工具,remote-desktop,,,,1,,,,,
MindNode,实用工具,mind-map,,,,,,,,,
Xmind,实用工具,mind-map,,,,,,,,,
百度脑图,实用工具,mind-map,,,https://naotu.baidu.com/,1,,,,,
,实用工具,mind-map,,,,,,,,,
,,,,,,,,,,,
Alfred,实用工具,launcher,,,,,,,,,
HapiGo,实用工具,launcher,,,,1,,,,,
uTools,实用工具,launcher,,,,1,,,,,
Raycast,实用工具,launcher,,,https://raycast.com,,,,,,
,实用工具,launcher,,,,,,,,,
OnePassword,实用工具,password,,,,,,,,,
Apple Keychain,实用工具,password,,,,,,,,,
Draw.io,实用工具,diagram,,,,,,,,,
excalidraw,实用工具,diagram,,,,,,,,,
processon,实用工具,diagram,,,,,,,,,
asciiflow.com,实用工具,diagram,,,,,,,,,
,,,,,,,,,,,
randomuser,技术开发,dev-tools,假数据,,https://randomuser.me/,,,,,,
placeholder,技术开发,dev-tools,假数据,,https://placeholder.com/,,,,,,
Codelf,技术开发,dev-tools,变量命名,,https://unbug.github.io/codelf/,,,,,,
Termius,技术开发,dev-tools,终端,,,,1,,,,
Electerm,技术开发,dev-tools,终端,,https://github.com/electerm/electerm,,1,,,,
iTerm,技术开发,dev-tools,终端,,,,1,,,,
Cmder,技术开发,dev-tools,终端,,,,1,,,,
Hyper,技术开发,dev-tools,终端,,https://hyper.is/,,1,,,,
Navicat,技术开发,dev-tools,数据库 GUI,,,,0,,,,
DataGrip,技术开发,dev-tools,数据库 GUI,,,,0,,,,
DBeaver,技术开发,dev-tools,数据库 GUI,,,,,,,,
RESP.app,技术开发,dev-tools,数据库 GUI,,https://resp.app/,,,,,,
Sequel Pro,技术开发,dev-tools,数据库 GUI,,https://www.sequelpro.com,,,,,,
Robo 3T,技术开发,dev-tools,数据库 GUI,,https://robomongo.org/,,,,,,
Compass,技术开发,dev-tools,数据库 GUI,,https://www.mongodb.com/products/compass,,1,,,,
TablePlus,技术开发,dev-tools,数据库 GUI,,https://tableplus.com/,,0,,,,
Sourcetree,技术开发,dev-tools,git,,https://www.sourcetreeapp.com/,,1,,,,
Tower,技术开发,dev-tools,git,,https://www.git-tower.com,,0,1,1,,
TortoiseGit,技术开发,dev-tools,git,,https://tortoisegit.org/,,1,0,1,,
,技术开发,dev-tools,git,,,,,,,,
,,dev-tools,,,,,,,,,
,,dev-tools,,,,,,,,,
,,dev-tools,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,